Date,MSCI Europe
09/2007,298684.7952529693
10/2007,306805.0738148529
11/2007,290667.16300679906
12/2007,286351.17521759146
01/2008,253903.21916757134
02/2008,252928.48558621772
03/2008,243620.66898844103
04/2008,259102.68658003033
05/2008,260785.54155107887
06/2008,234222.25416014387
07/2008,229720.2343972493
08/2008,233793.53010357963
09/2008,204523.09246551277
10/2008,180593.13664985343
11/2008,168605.51083673537
12/2008,162283.27697725975
01/2009,156736.35429835526
02/2009,142727.9119912509
03/2009,145004.3296435165
04/2009,165633.03017685653
05/2009,174882.66053324618
06/2009,171021.292249815
07/2009,188929.80238746523
08/2009,198959.32419624
09/2009,202917.58958692284
10/2009,198433.35424031125
11/2009,201162.72486888847
12/2009,212944.71454740167
01/2010,206675.27840903078
02/2010,208474.33665682256
03/2010,223483.80216346003
04/2010,220115.42636236953
05/2010,209150.31761839523
06/2010,208204.4938158152
07/2010,218942.5139799247
08/2010,216674.1544958331
09/2010,223429.08475253923
10/2010,229593.30918992113
11/2010,226182.25604347195
12/2010,238486.99246964595
01/2011,241912.34882657215
02/2011,247290.13301336212
03/2011,238790.01356712627
04/2011,246564.1301132857
05/2011,246300.12740787704
06/2011,240444.42876301697
07/2011,235437.75089286087
08/2011,209064.28664470243
09/2011,199169.21811585766
10/2011,215333.27887515412
11/2011,214550.3532730953
12/2011,219055.41847157848
01/2012,225197.02919205182
02/2012,234703.77010798597
03/2012,234842.7787060669
04/2012,231927.608515458
05/2012,216807.23128490723
06/2012,230527.1528003112
07/2012,238928.73668090976
08/2012,242999.53819637804
09/2012,244001.8415941881
10/2012,246347.95458890346
11/2012,252881.52300499904
12/2012,255898.4719835022
01/2013,263740.79343413946
02/2013,264670.2817004666
03/2013,270805.4737328118
04/2013,276781.99034848984
05/2013,278700.95920355164
06/2013,263748.7470151075
07/2013,279012.53683942574
08/2013,276285.169383095
09/2013,290227.499861472
10/2013,299643.6596155454
11/2013,303853.99666818546
12/2013,306599.6109024488
01/2014,300747.8073849172
02/2014,315772.0599785222
03/2014,313114.2544902517
04/2014,319488.10972994025
05/2014,328102.5156065007
06/2014,326541.1152405592
07/2014,320749.7698448167
08/2014,326760.7386027946
09/2014,329613.35880730953
10/2014,322435.2141245163
11/2014,332093.0888054731
12/2014,326749.35889074276
01/2015,350899.8846192414
02/2015,375087.5450218889
03/2015,381446.500421055
04/2015,381823.80768361606
05/2015,387342.9464877385
06/2015,368093.5737461646
07/2015,387274.6197090257
08/2015,351743.0360096753
09/2015,335682.37039854657
10/2015,365791.6135356059
